original_ID,original_ADDRESS,original_POSTCODE,original_CITY,original_STATE,original_COUNTRY,original_source,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,county_code,city,county,state,state_code,country,country_code,confidence,confidence_city_level,confidence_street_level,confidence_building_level,attribution,attribution_license,attribution_url
20,110 Raeburn Pl,EH4 1HH,"Edinburgh ",NA,United Kingdom,Invoice,55.9593164,-3.2144824,"110 Raeburn Place, City of Edinburgh, EH4 1HH, United Kingdom",,110,Raeburn Place,EH4 1HH,,Comely Bank,,City of Edinburgh,,Scotland,SCT,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,421 Bourke Street,2010,Sidney,NSW,Australia,Invoice,-33.88239,151.2160444,"Maybe Frank, 417-421 Bourke Street, Surry Hills NSW 2010, Australia",Maybe Frank,417-421,Bourke Street,2010,Sydney CBD,Surry Hills,,Sydney,,New South Wales,NSW,Australia,au,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,"Calle Lira, 198",NA,Santiago,NA,Chile,Invoice,-33.445799,-70.640021,"Lira 198, 832 0000 Santiago, Chile",,198,Lira,8320000,,Santa Carolina,SG,Santiago,Santiago,Metropolitana,RM,Chile,cl,0,,,0,© OpenAddresses contributors,BSD-3-Clause License,
23,"3,Raj Bhavan Road",560001,Bangalore,NA,India,Invoice,12.983282292238721,77.59163117134872,"3, Raj Bhavan Road, High Grounds, Bengaluru - 560001, KA, India",Raj Bhavan Road,3,Raj Bhavan Road,560001,Fair Field Layout,High Grounds,,Bengaluru,Bangalore North,Karnataka,KA,India,in,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24,Ullevålsveien 14,0171,Oslo,NA,Norway,Invoice,59.923146,10.740944,"Ullevålsveien 14, 0171 Oslo, Norway",,14,Ullevålsveien,0171,,St. Hanshaugen,,Oslo,,,,Norway,no,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,"Rua Dr. Falcão Filho, 155",01007-010,São Paulo,SP,Brazil,Invoice,-23.5484484,-46.6381561,"Rua Doutor Falcão Filho 155, Glicério, São Paulo - SP, 01007-010, Brazil",,155,Rua Doutor Falcão Filho,01007-010,,Glicério,,São Paulo,Região Metropolitana de São Paulo,São Paulo,SP,Brazil,br,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
26,1 Infinite Loop,95014,Cupertino,CA,USA,Invoice,37.3316697,-122.03009820215502,"Infinite Loop 1, 1 Infinite Loop, Cupertino, CA 95014, United States of America",Infinite Loop 1,1,Infinite Loop,95014,,Apple Campus,,Cupertino,Santa Clara County,California,CA,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,5112 48 Street,X1A 1N6,Yellowknife,NT,Canada,Invoice,62.45315,-114.365653,"5112 48th Street, Yellowknife, NT X1A 1N6, Canada",,5112,48th Street,X1A1N6,,,,Yellowknife,Region 6,Northwest Territories,NT,Canada,ca,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
28,Rua da Assunção 53,NA,Lisbon,NA,Portugal,Invoice,38.711847,-9.137161,"Rua da Assunção 31, 1500-500 Lisbon, Portugal",,31,Rua da Assunção,1500-500,Alvalade,Baixa,,Lisbon,,Lisbon,LI,Portugal,pt,0,,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
29,Tauentzienstraße 8,10789,Berlin,NA,Germany,Invoice,52.5036452,13.3387131,"Tauentzienstraße 8, 10789 Berlin, Germany",,8,Tauentzienstraße,10789,Charlottenburg-Wilmersdorf,Charlottenburg,,Berlin,,,,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,Barbarossastraße 19,10779,Berlin,NA,Germany,Invoice,52.4924821,13.3447053,"Barbarossastraße 19, 10779 Berlin, Germany",,19,Barbarossastraße,10779,Tempelhof-Schöneberg,Schöneberg,,Berlin,,,,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
31,"9, Place Louis Barthou",33000,Bordeaux,NA,France,Invoice,44.8215363,-0.5828175,"9 Place Louis Barthou, 33000 Bordeaux, France",,9,Place Louis Barthou,33000,,Nansouty - Saint-Genès,,Bordeaux,Gironde,Nouvelle-Aquitaine,NAQ,France,fr,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
32,Lijnbaansgracht 120bg,1016,Amsterdam,VV,Netherlands,Invoice,52.3720061,4.8764778,"Lijnbaansgracht 120, 1016 VV Amsterdam, Netherlands",,120,Lijnbaansgracht,1016 VV,,Centrum,,Amsterdam,,North Holland,NH,Netherlands,nl,0.6649999999999999,0.7,0.7,0.6649999999999999,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
33,"Calle Lira, 198",NA,Santiago,NA,Chile,Invoice,-33.445799,-70.640021,"Lira 198, 832 0000 Santiago, Chile",,198,Lira,8320000,,Santa Carolina,SG,Santiago,Santiago,Metropolitana,RM,Chile,cl,0,,,0,© OpenAddresses contributors,BSD-3-Clause License,
34,"Praça Pio X, 119",20040-020,Rio de Janeiro,RJ,Brazil,Invoice,-22.901274,-43.177882,"Praca Pio X 119, Saúde, Rio de Janeiro - Southeast, 20040-020, Brazil",,119,Praca Pio X,20040-020,,Saúde,RJ,Rio de Janeiro,Rio De Janeiro,Southeast,,Brazil,br,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
35,Qe 7 Bloco G,71020-677,Brasília,DF,Brazil,Invoice,-15.836407,-47.934213,"Box 7, Brasilia - Central-West, 70387-000, Brazil",Box 7,,,70387-000,,,DF,Brasilia,Federal District,Central-West,,Brazil,br,0.9,1,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
36,700 W Pender Street,V6C 1G8,Vancouver,BC,Canada,Invoice,49.2846592,-123.11544980149253,"Pender Place, 700 West Pender Street, Vancouver, BC V6C 1G8, Canada",Pender Place,700,West Pender Street,V6C 1G8,Gastown,Downtown,,Vancouver,Metro Vancouver Regional District,British Columbia,BC,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,1 Microsoft Way,98052-8300,Redmond,WA,USA,Invoice,47.64125,-122.126761,"15975 One Microsoft Way, Redmond, WA 98052-8300, United States of America",,15975,One Microsoft Way,98052-8300,,,KN,Redmond,King County,Washington,WA,United States,us,0.45,1,0.9,0.0003380493301615125,© OpenAddresses contributors,BSD-3-Clause License,
38,801 W 4th Street,89503,Reno,NV,USA,Invoice,39.527773,-119.825558,"801 West 4th Street, Reno, NV 89503, United States of America",,801,West 4th Street,89503,Powning Addition,,,Reno,Washoe County,Nevada,NV,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,1033 N Park Ave,85719,Tucson,AZ,USA,Invoice,32.234910742016005,-110.95685462024713,"1033 North Park Avenue, Tucson, AZ 85719, United States of America",,1033,North Park Avenue,85719,Feldman's,,,Tucson,Pima County,Arizona,AZ,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,Tauentzienstraße 8,10789,Berlin,NA,Germany,Invoice,52.5036452,13.3387131,"Tauentzienstraße 8, 10789 Berlin, Germany",,8,Tauentzienstraße,10789,Charlottenburg-Wilmersdorf,Charlottenburg,,Berlin,,,,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,C/ San Bernardo 85,28015,Madrid,NA,Spain,Invoice,40.4284441,-3.7063184,"Calle de San Bernardo, 85, 28015 Madrid, Spain",,85,Calle de San Bernardo,28015,Centro,Universidad,,Madrid,,Community of Madrid,,Spain,es,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
42,Celsiusg. 9,11230,Stockholm,NA,Sweden,Invoice,59.333403,18.039175,"Celsiusgatan 9, 112 30 Stockholm, Sweden",,9,Celsiusgatan,112 30,Vantor,Kungsholmen,,Stockholm,Stockholm,Stockholm,ST,Sweden,se,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
43,113 Lupus St,SW1V 3EN,London,NA,United Kingdom,Invoice,51.4876214,-0.1417311,"Pizza Hut Delivery, 113 Lupus Street, London, SW1V 3EN, United Kingdom",Pizza Hut Delivery,113,Lupus Street,SW1V 3EN,,Pimlico,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,421 Bourke Street,2010,Sidney,NSW,Australia,Invoice,-33.88239,151.2160444,"Maybe Frank, 417-421 Bourke Street, Surry Hills NSW 2010, Australia",Maybe Frank,417-421,Bourke Street,2010,Sydney CBD,Surry Hills,,Sydney,,New South Wales,NSW,Australia,au,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45,"3,Raj Bhavan Road",560001,Bangalore,NA,India,Invoice,12.983282292238721,77.59163117134872,"3, Raj Bhavan Road, High Grounds, Bengaluru - 560001, KA, India",Raj Bhavan Road,3,Raj Bhavan Road,560001,Fair Field Layout,High Grounds,,Bengaluru,Bangalore North,Karnataka,KA,India,in,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,Rilská 3174/6,14300,Prague,NA,Czech Republic,Invoice,50.0084679,14.4279078,"Rilská 3174/6, 143 00 Capital City of Prague, Czechia",,3174/6,Rilská,143 00,obvod Praha 4,Modřany,,Capital City of Prague,,Prague,,Czechia,cz,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47,700 W Pender Street,V6C 1G8,Vancouver,BC,Canada,Invoice,49.2846592,-123.11544980149253,"Pender Place, 700 West Pender Street, Vancouver, BC V6C 1G8, Canada",Pender Place,700,West Pender Street,V6C 1G8,Gastown,Downtown,,Vancouver,Metro Vancouver Regional District,British Columbia,BC,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48,796 Dundas Street West,M6J 1V1,Toronto,ON,Canada,Invoice,43.6519828,-79.4082537,"796 Dundas Street West, Toronto, ON M6J 1V1, Canada",,796,Dundas Street West,M6J 1V1,,University—Rosedale,,Toronto,Golden Horseshoe,Ontario,ON,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,230 Elgin Street,K2P 1L7,Ottawa,ON,Canada,Invoice,45.4185648,-75.6911579,"Pizza Pizza, 230 Elgin Street, Ottawa, ON K2P 1L6, Canada",Pizza Pizza,230,Elgin Street,K2P 1L6,Somerset,Centretown,,Ottawa,Eastern Ontario,Ontario,ON,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
50,696 Osborne Street,R3L 2B9,Winnipeg,MB,Canada,Invoice,49.862327,-97.131704,"696 Osborne Street, Winnipeg, MB R3L 2B9, Canada",,696,Osborne Street,R3L2B9,,,,Winnipeg,Division No. 11,Manitoba,MB,Canada,ca,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
51,Rua da Assunção 53,NA,Lisbon,NA,Portugal,Invoice,38.711847,-9.137161,"Rua da Assunção 31, 1500-500 Lisbon, Portugal",,31,Rua da Assunção,1500-500,Alvalade,Baixa,,Lisbon,,Lisbon,LI,Portugal,pt,0,,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
52,Barbarossastraße 19,10779,Berlin,NA,Germany,Invoice,52.4924821,13.3447053,"Barbarossastraße 19, 10779 Berlin, Germany",,19,Barbarossastraße,10779,Tempelhof-Schöneberg,Schöneberg,,Berlin,,,,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
53,Porthaninkatu 9,00530,Helsinki,NA,Finland,Invoice,60.1825786,24.9523839,"Porthaninkatu 9, 00530 Helsinki, Finland",,9,Porthaninkatu,00530,Central major district,Kallio,,Helsinki,,Uusimaa,,Finland,fi,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54,113 Lupus St,SW1V 3EN,London,NA,United Kingdom,Invoice,51.4876214,-0.1417311,"Pizza Hut Delivery, 113 Lupus Street, London, SW1V 3EN, United Kingdom",Pizza Hut Delivery,113,Lupus Street,SW1V 3EN,,Pimlico,,London,Greater London,England,ENG,United Kingdom,gb,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55,Grétrystraat 63,1000,Brussels,NA,Belgium,Invoice,50.8486677,4.3529277,"Rue Grétry - Grétrystraat 63, 1000 Brussels, Belgium",,63,Rue Grétry - Grétrystraat,1000,Brussels,Pentagon,,Brussels,Brussels-Capital,Brussels-Capital,,Belgium,be,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
56,Sønder Boulevard 51,1720,Copenhagen,NA,Denmark,Invoice,55.66655,12.55315,"Sønder Boulevard 51, 1720 Copenhagen, Denmark",,51,Sønder Boulevard,1720,,Vesterbro,,Copenhagen,,Capital Region of Denmark,,Denmark,dk,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
57,"Av. Paulista, 2022",01310-200,São Paulo,SP,Brazil,Invoice,-23.138992,-46.558079,"Avenida Paulista 2022, Atibaia - Southeast, 12940-000, Brazil",,2022,Avenida Paulista,12940-000,Atibaia,,SP,Atibaia,Sao Paulo,Southeast,,Brazil,br,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
58,Qe 7 Bloco G,71020-677,Brasília,DF,Brazil,Invoice,-15.836407,-47.934213,"Box 7, Brasilia - Central-West, 70387-000, Brazil",Box 7,,,70387-000,,,DF,Brasilia,Federal District,Central-West,,Brazil,br,0.9,1,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,1 Microsoft Way,98052-8300,Redmond,WA,USA,Invoice,47.64125,-122.126761,"15975 One Microsoft Way, Redmond, WA 98052-8300, United States of America",,15975,One Microsoft Way,98052-8300,,,KN,Redmond,King County,Washington,WA,United States,us,0.45,1,0.9,0.0003380493301615125,© OpenAddresses contributors,BSD-3-Clause License,
60,69 Salem Street,2113,Boston,MA,USA,Invoice,42.363353700000005,-71.05583958426791,"69 Salem Street, Boston, MA 02113, United States of America",,69,Salem Street,02113,Waterfront,North End,,Boston,Suffolk County,Massachusetts,MA,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
61,696 Osborne Street,R3L 2B9,Winnipeg,MB,Canada,Invoice,49.862327,-97.131704,"696 Osborne Street, Winnipeg, MB R3L 2B9, Canada",,696,Osborne Street,R3L2B9,,,,Winnipeg,Division No. 11,Manitoba,MB,Canada,ca,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
62,3 Chatham Street,NA,Dublin,Dublin,Ireland,Invoice,53.340756,-6.261312,"3 Chatham Street, Ballsbridge, Dublin, Fingal, Ireland",,3,Chatham Street,NA,,Ballsbridge,DN,Dublin,Fingal,Dublin,,Ireland,ie,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
63,"Via Degli Scipioni, 43",00192,Rome,RM,Italy,Invoice,41.9082832,12.4569899,"Via degli Scipioni, 43, 00192 Rome RM, Italy",Via degli Scipioni,43,Via degli Scipioni,00192,,Municipio Roma I,,Rome,Roma Capitale,Lazio,LAZ,Italy,it,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
64,Ordynacka 10,00-358,Warsaw,NA,Poland,Invoice,52.2360137,21.019813534083013,"Ordynacka 10/12, 00-358 Warsaw, Poland",,10/12,Ordynacka,00-358,Centrum,Midtown,,Warsaw,,Masovian Voivodeship,,Poland,pl,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,Celsiusg. 9,11230,Stockholm,NA,Sweden,Invoice,59.333403,18.039175,"Celsiusgatan 9, 112 30 Stockholm, Sweden",,9,Celsiusgatan,112 30,Vantor,Kungsholmen,,Stockholm,Stockholm,Stockholm,ST,Sweden,se,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
66,421 Bourke Street,2010,Sidney,NSW,Australia,Invoice,-33.88239,151.2160444,"Maybe Frank, 417-421 Bourke Street, Surry Hills NSW 2010, Australia",Maybe Frank,417-421,Bourke Street,2010,Sydney CBD,Surry Hills,,Sydney,,New South Wales,NSW,Australia,au,0.9,1,1,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,Theodor-Heuss-Straße 34,70174,Stuttgart,NA,Germany,Invoice,48.7756599,9.171711437380297,"Theodor-Heuss-Straße 34, 70174 Stuttgart, Germany",,34,Theodor-Heuss-Straße,70174,Neue Vorstadt,Stuttgart-Mitte,,Stuttgart,,Baden-Württemberg,BW,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,"Av. Paulista, 2022",01310-200,São Paulo,SP,Brazil,Invoice,-23.138992,-46.558079,"Avenida Paulista 2022, Atibaia - Southeast, 12940-000, Brazil",,2022,Avenida Paulista,12940-000,Atibaia,,SP,Atibaia,Sao Paulo,Southeast,,Brazil,br,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
69,319 N. Frances Street,53703,Madison,WI,USA,Invoice,43.0729056,-89.395692,"Ian's Pizza, 319 North Frances Street, Madison, WI 53703, United States of America",Ian's Pizza,319,North Frances Street,53703,State-Langdon,,,Madison,Dane County,Wisconsin,WI,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
70,2211 W Berry Street,76110,Fort Worth,TX,USA,Invoice,32.70597691836735,-97.350467,"2211 West Berry Street, Fort Worth, TX 76110, United States of America",,2211,West Berry Street,76110,,,,Fort Worth,Tarrant County,Texas,TX,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,302 S 700 E,84102,Salt Lake City,UT,USA,Invoice,40.762585,-111.87134,"302 South 700 East, Salt Lake City, UT 84102, United States of America",,302,South 700 East,84102,,Central City,SL,Salt Lake City,Salt Lake County,Utah,UT,United States,us,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
72,230 Elgin Street,K2P 1L7,Ottawa,ON,Canada,Invoice,45.4185648,-75.6911579,"Pizza Pizza, 230 Elgin Street, Ottawa, ON K2P 1L6, Canada",Pizza Pizza,230,Elgin Street,K2P 1L6,Somerset,Centretown,,Ottawa,Eastern Ontario,Ontario,ON,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,Rua da Assunção 53,NA,Lisbon,NA,Portugal,Invoice,38.711847,-9.137161,"Rua da Assunção 31, 1500-500 Lisbon, Portugal",,31,Rua da Assunção,1500-500,Alvalade,Baixa,,Lisbon,,Lisbon,LI,Portugal,pt,0,,,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74,"8, Rue Hanovre",75002,Paris,NA,France,Invoice,48.8702178,2.3351131,"8 Rue de Hanovre, 75002 Paris, France",,8,Rue de Hanovre,75002,Paris,2nd Arrondissement,,Paris,,Ile-de-France,IDF,France,fr,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,Ordynacka 10,00-358,Warsaw,NA,Poland,Invoice,52.2360137,21.019813534083013,"Ordynacka 10/12, 00-358 Warsaw, Poland",,10/12,Ordynacka,00-358,Centrum,Midtown,,Warsaw,,Masovian Voivodeship,,Poland,pl,0.95,1,1,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76,Ullevålsveien 14,0171,Oslo,NA,Norway,Invoice,59.923146,10.740944,"Ullevålsveien 14, 0171 Oslo, Norway",,14,Ullevålsveien,0171,,St. Hanshaugen,,Oslo,,,,Norway,no,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,Klanova 9/506,14700,Prague,NA,Czech Republic,Invoice,50.022298556867185,14.419057126255705,"Klánova, 147 00 Capital City of Prague, Czechia",Klánova,,Klánova,147 00,obvod Praha 4,Hodkovičky,,Capital City of Prague,,Prague,,Czechia,cz,0.5,1,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,"Rotenturmstraße 4, 1010 Innere Stadt",1010,Vienne,NA,Austria,Invoice,48.2097309,16.3738034,"Rotenturmstraße 4, 1010 Vienna, Austria",,4,Rotenturmstraße,1010,Wien,Innere Stadt,,Vienna,,,,Austria,at,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
79,Sønder Boulevard 51,1720,Copenhagen,NA,Denmark,Invoice,55.66655,12.55315,"Sønder Boulevard 51, 1720 Copenhagen, Denmark",,51,Sønder Boulevard,1720,,Vesterbro,,Copenhagen,,Capital Region of Denmark,,Denmark,dk,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,Qe 7 Bloco G,71020-677,Brasília,DF,Brazil,Invoice,-15.836407,-47.934213,"Box 7, Brasilia - Central-West, 70387-000, Brazil",Box 7,,,70387-000,,,DF,Brasilia,Federal District,Central-West,,Brazil,br,0.9,1,0.9,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
81,1 Infinite Loop,95014,Cupertino,CA,USA,Invoice,37.3316697,-122.03009820215502,"Infinite Loop 1, 1 Infinite Loop, Cupertino, CA 95014, United States of America",Infinite Loop 1,1,Infinite Loop,95014,,Apple Campus,,Cupertino,Santa Clara County,California,CA,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
82,302 S 700 E,84102,Salt Lake City,UT,USA,Invoice,40.762585,-111.87134,"302 South 700 East, Salt Lake City, UT 84102, United States of America",,302,South 700 East,84102,,Central City,SL,Salt Lake City,Salt Lake County,Utah,UT,United States,us,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
83,"9, Place Louis Barthou",33000,Bordeaux,NA,France,Invoice,44.8215363,-0.5828175,"9 Place Louis Barthou, 33000 Bordeaux, France",,9,Place Louis Barthou,33000,,Nansouty - Saint-Genès,,Bordeaux,Gironde,Nouvelle-Aquitaine,NAQ,France,fr,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
84,"68, Rue Jouvence",21000,Dijon,NA,France,Invoice,47.3344155,5.0396111,"68 Rue de Jouvence, 21000 Dijon, France",,68,Rue de Jouvence,21000,,Montchapet,,Dijon,Côte-d'Or,Bourgogne – Franche-Comté,,France,fr,0.9,1,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
85,Erzsébet krt. 58.,H-1073,Budapest,NA,Hungary,Invoice,47.516581,19.092281,"Budapest, BU, Hungary",,,,,,,BU,Budapest,Budapest,Central Hungary,,Hungary,hu,0,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
86,"Via Degli Scipioni, 43",00192,Rome,RM,Italy,Invoice,41.9082832,12.4569899,"Via degli Scipioni, 43, 00192 Rome RM, Italy",Via degli Scipioni,43,Via degli Scipioni,00192,,Municipio Roma I,,Rome,Roma Capitale,Lazio,LAZ,Italy,it,0.75,1,1,0.75,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
87,Celsiusg. 9,11230,Stockholm,NA,Sweden,Invoice,59.333403,18.039175,"Celsiusgatan 9, 112 30 Stockholm, Sweden",,9,Celsiusgatan,112 30,Vantor,Kungsholmen,,Stockholm,Stockholm,Stockholm,ST,Sweden,se,1,1,1,1,© OpenAddresses contributors,BSD-3-Clause License,
88,"Calle Lira, 198",NA,Santiago,NA,Chile,Invoice,-33.445799,-70.640021,"Lira 198, 832 0000 Santiago, Chile",,198,Lira,8320000,,Santa Carolina,SG,Santiago,Santiago,Metropolitana,RM,Chile,cl,0,,,0,© OpenAddresses contributors,BSD-3-Clause License,
89,"Rotenturmstraße 4, 1010 Innere Stadt",1010,Vienne,NA,Austria,Invoice,48.2097309,16.3738034,"Rotenturmstraße 4, 1010 Vienna, Austria",,4,Rotenturmstraße,1010,Wien,Innere Stadt,,Vienna,,,,Austria,at,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
90,801 W 4th Street,89503,Reno,NV,USA,Invoice,39.527773,-119.825558,"801 West 4th Street, Reno, NV 89503, United States of America",,801,West 4th Street,89503,Powning Addition,,,Reno,Washoe County,Nevada,NV,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
91,120 S Orange Ave,32801,Orlando,FL,USA,Invoice,28.5408542,-81.3792585,"Gitto's Pizza, 120 South Orange Avenue, Orlando, FL 32801, United States of America",Gitto's Pizza,120,South Orange Avenue,32801,,,,Orlando,Orange County,Florida,FL,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92,162 E Superior Street,60611,Chicago,IL,USA,Invoice,41.8960074,-87.62305351783883,"Gino's East, 162 East Superior Street, Chicago, IL 60611, United States of America",Gino's East,162,East Superior Street,60611,Magnificent Mile,Near North Side,,Chicago,Cook County,Illinois,IL,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93,2211 W Berry Street,76110,Fort Worth,TX,USA,Invoice,32.70597691836735,-97.350467,"2211 West Berry Street, Fort Worth, TX 76110, United States of America",,2211,West Berry Street,76110,,,,Fort Worth,Tarrant County,Texas,TX,United States,us,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
94,230 Elgin Street,K2P 1L7,Ottawa,ON,Canada,Invoice,45.4185648,-75.6911579,"Pizza Pizza, 230 Elgin Street, Ottawa, ON K2P 1L6, Canada",Pizza Pizza,230,Elgin Street,K2P 1L6,Somerset,Centretown,,Ottawa,Eastern Ontario,Ontario,ON,Canada,ca,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
95,Tauentzienstraße 8,10789,Berlin,NA,Germany,Invoice,52.5036452,13.3387131,"Tauentzienstraße 8, 10789 Berlin, Germany",,8,Tauentzienstraße,10789,Charlottenburg-Wilmersdorf,Charlottenburg,,Berlin,,,,Germany,de,1,1,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
96,Erzsébet krt. 58.,H-1073,Budapest,NA,Hungary,Invoice,47.516581,19.092281,"Budapest, BU, Hungary",,,,,,,BU,Budapest,Budapest,Central Hungary,,Hungary,hu,0,,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
97,"3,Raj Bhavan Road",560001,Bangalore,NA,India,Invoice,12.983282292238721,77.59163117134872,"3, Raj Bhavan Road, High Grounds, Bengaluru - 560001, KA, India",Raj Bhavan Road,3,Raj Bhavan Road,560001,Fair Field Layout,High Grounds,,Bengaluru,Bangalore North,Karnataka,KA,India,in,0.5,1,1,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
